location,party_a,party_b,year
Philippines,Government of Philippines,CPP,1973
Philippines,Government of Philippines,CPP,1974
Philippines,Government of Philippines,CPP,1975
Philippines,Government of Philippines,CPP,1976
Philippines,Government of Philippines,CPP,1977
Philippines,Government of Philippines,CPP,1978
Philippines,Government of Philippines,CPP,1979
Philippines,Government of Philippines,CPP,1980
Philippines,Government of Philippines,CPP,1981
Philippines,Government of Philippines,CPP,1982
Philippines,Government of Philippines,CPP,1983
Philippines,Government of Philippines,CPP,1984
Philippines,Government of Philippines,CPP,1985
Philippines,Government of Philippines,CPP,1986
Philippines,Government of Philippines,"CPP, Military faction (forces of Honasan, Abenina & Zumel)",1987
Philippines,Government of Philippines,CPP,1988
Philippines,Government of Philippines,"CPP, Military faction (forces of Honasan, Abenina & Zumel)",1989
Philippines,Government of Philippines,"CPP, Military faction (forces of Honasan, Abenina & Zumel)",1990
Philippines,Government of Philippines,CPP,1991
Philippines,Government of Philippines,CPP,1992
Philippines,Government of Philippines,CPP,1993
Philippines,Government of Philippines,CPP,1994
Philippines,Government of Philippines,CPP,1995
Philippines,Government of Philippines,CPP,1997
Philippines,Government of Philippines,CPP,1999
Philippines,Government of Philippines,CPP,2000
Philippines,Government of Philippines,CPP,2001
Philippines,Government of Philippines,CPP,2002
Philippines,Government of Philippines,CPP,2003
Philippines,Government of Philippines,CPP,2004
Philippines,Government of Philippines,CPP,2005
Philippines,Government of Philippines,CPP,2006
Philippines,Government of Philippines,CPP,2007
Philippines,Government of Philippines,CPP,2008
Philippines,Government of Philippines,CPP,2009
Philippines,Government of Philippines,CPP,2010
Philippines,Government of Philippines,CPP,2011
Philippines,Government of Philippines,CPP,2012
Philippines,Government of Philippines,CPP,2013
Philippines,Government of Philippines,CPP,2014
Philippines,Government of Philippines,CPP,2015
Philippines,Government of Philippines,CPP,2016
Philippines,Government of Philippines,CPP,2017
Philippines,Government of Philippines,CPP,2018
Philippines,Government of Philippines,CPP,2019
Philippines,Government of Philippines,CPP,2020
Philippines,Government of Philippines,CPP,2021
Philippines,Government of Philippines,CPP,2022
Philippines,Government of Philippines,CPP,2023
Russia (Soviet Union),Government of Russia (Soviet Union),Forest Brothers,1946
Russia (Soviet Union),Government of Russia (Soviet Union),Forest Brothers,1947
Russia (Soviet Union),Government of Russia (Soviet Union),Forest Brothers,1948
Russia (Soviet Union),Government of Russia (Soviet Union),"LNPA, LTS(p)A",1946
Russia (Soviet Union),Government of Russia (Soviet Union),BDPS,1946
Russia (Soviet Union),Government of Russia (Soviet Union),BDPS,1947
Russia (Soviet Union),Government of Russia (Soviet Union),BDPS,1948
Russia (Soviet Union),Government of Russia (Soviet Union),UPA,1946
Russia (Soviet Union),Government of Russia (Soviet Union),UPA,1947
Russia (Soviet Union),Government of Russia (Soviet Union),UPA,1948
Russia (Soviet Union),Government of Russia (Soviet Union),UPA,1949
Russia (Soviet Union),Government of Russia (Soviet Union),UPA,1950
"France, Thailand",Government of France,Government of Thailand,1946
"Albania, United Kingdom",Government of Albania,Government of United Kingdom,1946
Vietnam (North Vietnam),Government of France,Viet minh,1946
Vietnam (North Vietnam),Government of France,Viet minh,1947
Vietnam (North Vietnam),Government of France,Viet minh,1948
Vietnam (North Vietnam),Government of France,Viet minh,1949
Vietnam (North Vietnam),Government of France,Viet minh,1950
Vietnam (North Vietnam),Government of France,Viet minh,1951
Vietnam (North Vietnam),Government of France,Viet minh,1952
Vietnam (North Vietnam),Government of France,Viet minh,1953
Vietnam (North Vietnam),Government of France,Viet minh,1954
China,Government of China,Taiwanese insurgents,1947
"India, Pakistan",Government of India,Government of Pakistan,1948
"India, Pakistan",Government of India,Government of Pakistan,1964
"India, Pakistan",Government of India,Government of Pakistan,1965
"India, Pakistan",Government of India,Government of Pakistan,1971
"India, Pakistan",Government of India,Government of Pakistan,1984
"India, Pakistan",Government of India,Government of Pakistan,1987
"India, Pakistan",Government of India,Government of Pakistan,1989
"India, Pakistan",Government of India,Government of Pakistan,1990
"India, Pakistan",Government of India,Government of Pakistan,1991
"India, Pakistan",Government of India,Government of Pakistan,1992
"India, Pakistan",Government of India,Government of Pakistan,1994
"India, Pakistan",Government of India,Government of Pakistan,1996
"India, Pakistan",Government of India,Government of Pakistan,1997
"India, Pakistan",Government of India,Government of Pakistan,1998
"India, Pakistan",Government of India,Government of Pakistan,1999
"India, Pakistan",Government of India,Government of Pakistan,2000
"India, Pakistan",Government of India,Government of Pakistan,2001
"India, Pakistan",Government of India,Government of Pakistan,2002
"India, Pakistan",Government of India,Government of Pakistan,2003
"India, Pakistan",Government of India,Government of Pakistan,2013
"India, Pakistan",Government of India,Government of Pakistan,2014
"India, Pakistan",Government of India,Government of Pakistan,2015
"India, Pakistan",Government of India,Government of Pakistan,2016
"India, Pakistan",Government of India,Government of Pakistan,2017
"India, Pakistan",Government of India,Government of Pakistan,2018
"India, Pakistan",Government of India,Government of Pakistan,2019
"India, Pakistan",Government of India,Government of Pakistan,2020
Madagascar (Malagasy),Government of France,MDRM,1947
Paraguay,Government of Paraguay,"Opposition coalition (Febreristas, Liberals and Communists)",1947
Paraguay,Government of Paraguay,Military faction (forces of Alfredo Stroessner),1954
Paraguay,Government of Paraguay,Military faction (forces of Andres Rodriguez),1989
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1949
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1950
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1951
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1952
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1953
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1954
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1955
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1956
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1957
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1958
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1959
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1960
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1961
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1962
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1963
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1964
Myanmar (Burma),Government of Myanmar (Burma),KNUP,1965
Myanmar (Burma),Government of Myanmar (Burma),"KNU, KNUP",1966
Myanmar (Burma),Government of Myanmar (Burma),"KNU, KNUP",1967
Myanmar (Burma),Government of Myanmar (Burma),"KNU, KNUP",1968
Myanmar (Burma),Government of Myanmar (Burma),"KNU, KNUP",1969
Myanmar (Burma),Government of Myanmar (Burma),"KNU, KNUP",1970
Myanmar (Burma),Government of Myanmar (Burma),"KNU, KNUP",1971
Myanmar (Burma),Government of Myanmar (Burma),"KNU, KNUP",1972
Myanmar (Burma),Government of Myanmar (Burma),"KNU, KNUP",1973
Myanmar (Burma),Government of Myanmar (Burma),"KNU, KNUP",1974
Myanmar (Burma),Government of Myanmar (Burma),"KNU, KNUP",1975
Myanmar (Burma),Government of Myanmar (Burma),KNU,1976
Myanmar (Burma),Government of Myanmar (Burma),KNU,1977
Myanmar (Burma),Government of Myanmar (Burma),KNU,1978
Myanmar (Burma),Government of Myanmar (Burma),KNU,1979
Myanmar (Burma),Government of Myanmar (Burma),KNU,1980
Myanmar (Burma),Government of Myanmar (Burma),KNU,1981
Myanmar (Burma),Government of Myanmar (Burma),KNU,1982
Myanmar (Burma),Government of Myanmar (Burma),KNU,1983
Myanmar (Burma),Government of Myanmar (Burma),KNU,1984
Myanmar (Burma),Government of Myanmar (Burma),KNU,1985
Myanmar (Burma),Government of Myanmar (Burma),KNU,1986
Myanmar (Burma),Government of Myanmar (Burma),KNU,1987
Myanmar (Burma),Government of Myanmar (Burma),KNU,1988
Myanmar (Burma),Government of Myanmar (Burma),KNU,1989
Myanmar (Burma),Government of Myanmar (Burma),KNU,1990
Myanmar (Burma),Government of Myanmar (Burma),KNU,1991
Myanmar (Burma),Government of Myanmar (Burma),KNU,1992
Myanmar (Burma),Government of Myanmar (Burma),KNU,1994
Myanmar (Burma),Government of Myanmar (Burma),KNU,1995
Myanmar (Burma),Government of Myanmar (Burma),KNU,1997
Myanmar (Burma),Government of Myanmar (Burma),KNU,1998
Myanmar (Burma),Government of Myanmar (Burma),"God's Army, KNU",2000
Myanmar (Burma),Government of Myanmar (Burma),KNU,2001
Myanmar (Burma),Government of Myanmar (Burma),KNU,2002
Myanmar (Burma),Government of Myanmar (Burma),KNU,2003
Myanmar (Burma),Government of Myanmar (Burma),KNU,2004
Myanmar (Burma),Government of Myanmar (Burma),KNU,2005
Myanmar (Burma),Government of Myanmar (Burma),KNU,2006
Myanmar (Burma),Government of Myanmar (Burma),KNU,2007
Myanmar (Burma),Government of Myanmar (Burma),KNU,2008
Myanmar (Burma),Government of Myanmar (Burma),KNU,2009
Myanmar (Burma),Government of Myanmar (Burma),"DKBA 5, KNU",2010
Myanmar (Burma),Government of Myanmar (Burma),"DKBA 5, KNU",2011
Myanmar (Burma),Government of Myanmar (Burma),DKBA 5,2013
Myanmar (Burma),Government of Myanmar (Burma),KNU,2021
Myanmar (Burma),Government of Myanmar (Burma),KNU,2022
Myanmar (Burma),Government of Myanmar (Burma),KNU,2023
Myanmar (Burma),Government of Myanmar (Burma),"CPB, CPB-RF, PVO - ""White Band"" faction",1948
Myanmar (Burma),Government of Myanmar (Burma),"CPB, CPB-RF, PVO - ""White Band"" faction",1949
Myanmar (Burma),Government of Myanmar (Burma),"CPB, CPB-RF, PVO - ""White Band"" faction",1950
Myanmar (Burma),Government of Myanmar (Burma),"CPB, PVO - ""White Band"" faction",1951
Myanmar (Burma),Government of Myanmar (Burma),"CPB, PVO - ""White Band"" faction",1952
Myanmar (Burma),Government of Myanmar (Burma),"CPB, PVO - ""White Band"" faction",1953
Myanmar (Burma),Government of Myanmar (Burma),CPB,1954
Myanmar (Burma),Government of Myanmar (Burma),CPB,1955
Myanmar (Burma),Government of Myanmar (Burma),CPB,1956
Myanmar (Burma),Government of Myanmar (Burma),CPB,1957
Myanmar (Burma),Government of Myanmar (Burma),CPB,1958
Myanmar (Burma),Government of Myanmar (Burma),CPB,1959
Myanmar (Burma),Government of Myanmar (Burma),CPB,1960
Myanmar (Burma),Government of Myanmar (Burma),CPB,1961
Myanmar (Burma),Government of Myanmar (Burma),CPB,1962
Myanmar (Burma),Government of Myanmar (Burma),CPB,1963
Myanmar (Burma),Government of Myanmar (Burma),CPB,1964
Myanmar (Burma),Government of Myanmar (Burma),CPB,1965
Myanmar (Burma),Government of Myanmar (Burma),CPB,1966
Myanmar (Burma),Government of Myanmar (Burma),CPB,1967
Myanmar (Burma),Government of Myanmar (Burma),CPB,1968
Myanmar (Burma),Government of Myanmar (Burma),CPB,1969
Myanmar (Burma),Government of Myanmar (Burma),"CPB, CPB-RF",1970
Myanmar (Burma),Government of Myanmar (Burma),CPB,1971
Myanmar (Burma),Government of Myanmar (Burma),CPB,1972
Myanmar (Burma),Government of Myanmar (Burma),CPB,1973
Myanmar (Burma),Government of Myanmar (Burma),CPB,1974
Myanmar (Burma),Government of Myanmar (Burma),CPB,1975
Myanmar (Burma),Government of Myanmar (Burma),CPB,1976
Myanmar (Burma),Government of Myanmar (Burma),CPB,1977
Myanmar (Burma),Government of Myanmar (Burma),CPB,1978
Myanmar (Burma),Government of Myanmar (Burma),CPB,1979
Myanmar (Burma),Government of Myanmar (Burma),CPB,1980
Myanmar (Burma),Government of Myanmar (Burma),CPB,1981
Myanmar (Burma),Government of Myanmar (Burma),CPB,1982
Myanmar (Burma),Government of Myanmar (Burma),CPB,1983
Myanmar (Burma),Government of Myanmar (Burma),CPB,1984
Myanmar (Burma),Government of Myanmar (Burma),CPB,1985
Myanmar (Burma),Government of Myanmar (Burma),CPB,1986
Myanmar (Burma),Government of Myanmar (Burma),CPB,1987
Myanmar (Burma),Government of Myanmar (Burma),CPB,1988
Myanmar (Burma),Government of Myanmar (Burma),ABSDF,1990
Myanmar (Burma),Government of Myanmar (Burma),ABSDF,1991
Myanmar (Burma),Government of Myanmar (Burma),ABSDF,1992
Myanmar (Burma),Government of Myanmar (Burma),ABSDF,1994
Myanmar (Burma),Government of Myanmar (Burma),PSLF,2013
Myanmar (Burma),Government of Myanmar (Burma),PSLF,2014
Myanmar (Burma),Government of Myanmar (Burma),PSLF,2015
Myanmar (Burma),Government of Myanmar (Burma),PSLF,2017
Myanmar (Burma),Government of Myanmar (Burma),PSLF,2018
Myanmar (Burma),Government of Myanmar (Burma),PSLF,2019
Myanmar (Burma),Government of Myanmar (Burma),NUG,2021
Myanmar (Burma),Government of Myanmar (Burma),"NUG, PSLF",2022
Myanmar (Burma),Government of Myanmar (Burma),"CNF, NUG, PSLF",2023
Myanmar (Burma),Government of Myanmar (Burma),"APLP, Mujahid Party",1948
Myanmar (Burma),Government of Myanmar (Burma),"APLP, Mujahid Party",1949
Myanmar (Burma),Government of Myanmar (Burma),"APLP, Mujahid Party",1950
Myanmar (Burma),Government of Myanmar (Burma),"APLP, Mujahid Party",1951
Myanmar (Burma),Government of Myanmar (Burma),"APLP, Mujahid Party",1952
Myanmar (Burma),Government of Myanmar (Burma),"APLP, Mujahid Party",1953
Myanmar (Burma),Government of Myanmar (Burma),"APLP, Mujahid Party",1954
Myanmar (Burma),Government of Myanmar (Burma),"APLP, Mujahid Party",1955
Myanmar (Burma),Government of Myanmar (Burma),"APLP, Mujahid Party",1956
Myanmar (Burma),Government of Myanmar (Burma),"APLP, Mujahid Party",1957
Myanmar (Burma),Government of Myanmar (Burma),Mujahid Party,1958
Myanmar (Burma),Government of Myanmar (Burma),Mujahid Party,1959
Myanmar (Burma),Government of Myanmar (Burma),Mujahid Party,1960
Myanmar (Burma),Government of Myanmar (Burma),Mujahid Party,1961
Myanmar (Burma),Government of Myanmar (Burma),"ANLP, CPA",1964
Myanmar (Burma),Government of Myanmar (Burma),"ANLP, CPA",1965
Myanmar (Burma),Government of Myanmar (Burma),"ANLP, CPA",1966
Myanmar (Burma),Government of Myanmar (Burma),"ANLP, CPA",1967
Myanmar (Burma),Government of Myanmar (Burma),"ANLP, CPA",1968
Myanmar (Burma),Government of Myanmar (Burma),"ANLP, CPA",1969
Myanmar (Burma),Government of Myanmar (Burma),"ANLP, CPA",1970
Myanmar (Burma),Government of Myanmar (Burma),"ANLP, CPA",1971
Myanmar (Burma),Government of Myanmar (Burma),"ANLP, CPA",1972
Myanmar (Burma),Government of Myanmar (Burma),"CPA, RPF",1973
Myanmar (Burma),Government of Myanmar (Burma),RPF,1974
Myanmar (Burma),Government of Myanmar (Burma),RPF,1975
Myanmar (Burma),Government of Myanmar (Burma),RPF,1976
Myanmar (Burma),Government of Myanmar (Burma),"ALP, RPF",1977
Myanmar (Burma),Government of Myanmar (Burma),RPF,1978
Myanmar (Burma),Government of Myanmar (Burma),RSO,1991
Myanmar (Burma),Government of Myanmar (Burma),RSO,1994
Myanmar (Burma),Government of Myanmar (Burma),ARSA,2016
Myanmar (Burma),Government of Myanmar (Burma),ARSA,2017
Myanmar (Burma),Government of Myanmar (Burma),ULA,2018
Myanmar (Burma),Government of Myanmar (Burma),ULA,2019
Myanmar (Burma),Government of Myanmar (Burma),ULA,2020
Myanmar (Burma),Government of Myanmar (Burma),ULA,2022
Myanmar (Burma),Government of Myanmar (Burma),ULA,2023
Myanmar (Burma),Government of Myanmar (Burma),MFL-MUF,1949
Myanmar (Burma),Government of Myanmar (Burma),MFL-MUF,1950
Myanmar (Burma),Government of Myanmar (Burma),MFL-MUF,1951
Myanmar (Burma),Government of Myanmar (Burma),MPF,1952
Myanmar (Burma),Government of Myanmar (Burma),MPF,1953
Myanmar (Burma),Government of Myanmar (Burma),MPF,1954
Myanmar (Burma),Government of Myanmar (Burma),MPF,1955
Myanmar (Burma),Government of Myanmar (Burma),MPF,1956
Myanmar (Burma),Government of Myanmar (Burma),MPF,1957
Myanmar (Burma),Government of Myanmar (Burma),MPF,1958
Myanmar (Burma),Government of Myanmar (Burma),NMSP,1959
Myanmar (Burma),Government of Myanmar (Burma),NMSP,1960
Myanmar (Burma),Government of Myanmar (Burma),NMSP,1961
Myanmar (Burma),Government of Myanmar (Burma),NMSP,1962
Myanmar (Burma),Government of Myanmar (Burma),NMSP,1963
Myanmar (Burma),Government of Myanmar (Burma),NMSP,1990
Myanmar (Burma),Government of Myanmar (Burma),BMA,1996
Costa Rica,Government of Costa Rica,National Liberation Army,1948
"Hyderabad, India",Government of Hyderabad,Government of India,1948
India,Government of India,CPI,1948
India,Government of India,CPI,1949
India,Government of India,CPI,1950
India,Government of India,CPI,1951
India,Government of India,CPI-ML,1969
India,Government of India,CPI-ML,1970
India,Government of India,CPI-ML,1971
India,Government of India,PWG,1991
India,Government of India,PWG,1992
India,Government of India,PWG,1993
India,Government of India,PWG,1994
India,Government of India,PWG,1996
India,Government of India,PWG,1997
India,Government of India,PWG,1998
India,Government of India,"MCC, PWG",1999
India,Government of India,"CPI-ML-J, MCC, PWG",2000
India,Government of India,"MCC, PWG",2001
India,Government of India,"MCC, PWG",2002
India,Government of India,"MCC, PWG",2003
India,Government of India,"MCC, PWG",2004
India,Government of India,CPI-Maoist,2005
India,Government of India,CPI-Maoist,2006
India,Government of India,CPI-Maoist,2007
India,Government of India,CPI-Maoist,2008
India,Government of India,CPI-Maoist,2009
India,Government of India,CPI-Maoist,2010
India,Government of India,CPI-Maoist,2011
India,Government of India,CPI-Maoist,2012
India,Government of India,CPI-Maoist,2013
India,Government of India,CPI-Maoist,2014
India,Government of India,CPI-Maoist,2015
India,Government of India,CPI-Maoist,2016
India,Government of India,CPI-Maoist,2017
India,Government of India,CPI-Maoist,2018
India,Government of India,CPI-Maoist,2019
India,Government of India,CPI-Maoist,2020
India,Government of India,CPI-Maoist,2021
India,Government of India,CPI-Maoist,2022
India,Government of India,CPI-Maoist,2023
"Egypt, Iraq, Israel, Jordan, Lebanon, Syria","Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria",Government of Israel,1948
"Egypt, Iraq, Israel, Jordan, Lebanon, Syria","Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria",Government of Israel,1949
Malaysia,Government of United Kingdom,CPM,1948
Malaysia,Government of United Kingdom,CPM,1949
Malaysia,Government of United Kingdom,CPM,1950
Malaysia,Government of United Kingdom,CPM,1951
Malaysia,Government of United Kingdom,CPM,1952
Malaysia,Government of United Kingdom,CPM,1953
Malaysia,Government of United Kingdom,CPM,1954
Malaysia,Government of United Kingdom,CPM,1955
Malaysia,Government of United Kingdom,CPM,1956
Malaysia,Government of United Kingdom,CPM,1957
Yemen (North Yemen),Government of Yemen (North Yemen),Opposition coalition,1948
Yemen (North Yemen),Government of Yemen (North Yemen),Royalists,1962
Yemen (North Yemen),Government of Yemen (North Yemen),Royalists,1963
Yemen (North Yemen),Government of Yemen (North Yemen),Royalists,1964
Yemen (North Yemen),Government of Yemen (North Yemen),Royalists,1965
Yemen (North Yemen),Government of Yemen (North Yemen),Royalists,1966
Yemen (North Yemen),Government of Yemen (North Yemen),Royalists,1967
Yemen (North Yemen),Government of Yemen (North Yemen),Royalists,1968
Yemen (North Yemen),Government of Yemen (North Yemen),Royalists,1969
Yemen (North Yemen),Government of Yemen (North Yemen),Royalists,1970
Yemen (North Yemen),Government of Yemen (North Yemen),NDF,1979
Yemen (North Yemen),Government of Yemen (North Yemen),NDF,1980
Yemen (North Yemen),Government of Yemen (North Yemen),NDF,1981
Yemen (North Yemen),Government of Yemen (North Yemen),NDF,1982
Yemen (North Yemen),Government of Yemen (North Yemen),AQAP,2009
Yemen (North Yemen),Government of Yemen (North Yemen),AQAP,2010
Yemen (North Yemen),Government of Yemen (North Yemen),AQAP,2011
Yemen (North Yemen),Government of Yemen (North Yemen),AQAP,2012
Yemen (North Yemen),Government of Yemen (North Yemen),AQAP,2013
Yemen (North Yemen),Government of Yemen (North Yemen),"Ansarallah, AQAP",2014
Yemen (North Yemen),Government of Yemen (North Yemen),"Ansarallah, AQAP, Forces of the Presidential Leadership Council",2015
Yemen (North Yemen),Government of Yemen (North Yemen),"AQAP, Forces of the Presidential Leadership Council",2016
Yemen (North Yemen),Government of Yemen (North Yemen),"AQAP, Forces of the Presidential Leadership Council, GPC",2017
Yemen (North Yemen),Government of Yemen (North Yemen),"AQAP, Forces of the Presidential Leadership Council",2018
Yemen (North Yemen),Government of Yemen (North Yemen),Forces of the Presidential Leadership Council,2019
Yemen (North Yemen),Government of Yemen (North Yemen),Forces of the Presidential Leadership Council,2020
Yemen (North Yemen),Government of Yemen (North Yemen),Forces of the Presidential Leadership Council,2021
Yemen (North Yemen),Government of Yemen (North Yemen),Forces of the Presidential Leadership Council,2022
Yemen (North Yemen),Government of Yemen (North Yemen),Forces of the Presidential Leadership Council,2023
Myanmar (Burma),Government of Myanmar (Burma),PNDF,1949
Myanmar (Burma),Government of Myanmar (Burma),PNDF,1950
Myanmar (Burma),Government of Myanmar (Burma),KIO,1961
Myanmar (Burma),Government of Myanmar (Burma),KIO,1962
Myanmar (Burma),Government of Myanmar (Burma),KIO,1963
Myanmar (Burma),Government of Myanmar (Burma),KIO,1964
Myanmar (Burma),Government of Myanmar (Burma),KIO,1965
Myanmar (Burma),Government of Myanmar (Burma),KIO,1966
Myanmar (Burma),Government of Myanmar (Burma),KIO,1967
Myanmar (Burma),Government of Myanmar (Burma),KIO,1968
Myanmar (Burma),Government of Myanmar (Burma),KIO,1969
Myanmar (Burma),Government of Myanmar (Burma),KIO,1970
Myanmar (Burma),Government of Myanmar (Burma),KIO,1971
Myanmar (Burma),Government of Myanmar (Burma),KIO,1972
Myanmar (Burma),Government of Myanmar (Burma),KIO,1973
Myanmar (Burma),Government of Myanmar (Burma),KIO,1974
Myanmar (Burma),Government of Myanmar (Burma),KIO,1975
Myanmar (Burma),Government of Myanmar (Burma),KIO,1976
Myanmar (Burma),Government of Myanmar (Burma),KIO,1977
Myanmar (Burma),Government of Myanmar (Burma),KIO,1978
Myanmar (Burma),Government of Myanmar (Burma),KIO,1979
Myanmar (Burma),Government of Myanmar (Burma),KIO,1980
Myanmar (Burma),Government of Myanmar (Burma),KIO,1981
Myanmar (Burma),Government of Myanmar (Burma),KIO,1982
Myanmar (Burma),Government of Myanmar (Burma),KIO,1983
Myanmar (Burma),Government of Myanmar (Burma),KIO,1984
Myanmar (Burma),Government of Myanmar (Burma),KIO,1985
Myanmar (Burma),Government of Myanmar (Burma),KIO,1986
Myanmar (Burma),Government of Myanmar (Burma),KIO,1987
Myanmar (Burma),Government of Myanmar (Burma),KIO,1988
Myanmar (Burma),Government of Myanmar (Burma),KIO,1989
Myanmar (Burma),Government of Myanmar (Burma),KIO,1990
Myanmar (Burma),Government of Myanmar (Burma),KIO,1991
Myanmar (Burma),Government of Myanmar (Burma),KIO,1992
Myanmar (Burma),Government of Myanmar (Burma),KIO,2011
Myanmar (Burma),Government of Myanmar (Burma),KIO,2012
Myanmar (Burma),Government of Myanmar (Burma),KIO,2013
Myanmar (Burma),Government of Myanmar (Burma),KIO,2014
Myanmar (Burma),Government of Myanmar (Burma),KIO,2015
Myanmar (Burma),Government of Myanmar (Burma),KIO,2016
Myanmar (Burma),Government of Myanmar (Burma),KIO,2017
Myanmar (Burma),Government of Myanmar (Burma),KIO,2018
Myanmar (Burma),Government of Myanmar (Burma),KIO,2019
Myanmar (Burma),Government of Myanmar (Burma),KIO,2021
Myanmar (Burma),Government of Myanmar (Burma),KIO,2022
Myanmar (Burma),Government of Myanmar (Burma),KIO,2023
"China, Taiwan",Government of China,Government of Taiwan,1949
"China, Taiwan",Government of China,Government of Taiwan,1950
"China, Taiwan",Government of China,Government of Taiwan,1954
"China, Taiwan",Government of China,Government of Taiwan,1958
Guatemala,Government of Guatemala,Military faction (Guatemala),1949
Guatemala,Government of Guatemala,Forces of Carlos Castillo Armas,1954
Guatemala,Government of Guatemala,FAR I,1963
Guatemala,Government of Guatemala,FAR I,1965
Guatemala,Government of Guatemala,FAR I,1966
Guatemala,Government of Guatemala,FAR I,1967
Guatemala,Government of Guatemala,FAR I,1968
Guatemala,Government of Guatemala,FAR I,1969
Guatemala,Government of Guatemala,"FAR I, FAR II",1970
Guatemala,Government of Guatemala,"FAR I, FAR II",1971
Guatemala,Government of Guatemala,"FAR I, FAR II",1972
Guatemala,Government of Guatemala,"FAR I, FAR II",1973
Guatemala,Government of Guatemala,"FAR I, FAR II",1974
Guatemala,Government of Guatemala,"EGP, FAR II",1975
Guatemala,Government of Guatemala,"EGP, FAR II",1976
Guatemala,Government of Guatemala,"EGP, FAR II",1977
Guatemala,Government of Guatemala,"EGP, FAR II",1978
Guatemala,Government of Guatemala,"EGP, FAR II, ORPA",1979
Guatemala,Government of Guatemala,"EGP, FAR II, ORPA",1980
Guatemala,Government of Guatemala,"EGP, FAR I, FAR II, ORPA",1981
Guatemala,Government of Guatemala,URNG,1982
