recipients,suppliers,year,quantity,weapon description,status
Iraq,Australia,2004,2,light aircraft,New
Sweden,Australia,2003,2,transport aircraft,Second hand
Indonesia,Australia,2001,4,maritime patrol aircraft,Second hand
Yemen,Australia,2003,10,patrol craft,New
United Kingdom,Australia,1960,400,anti-tank missile,New
Kuwait,Australia,1997,22,APC,New
Indonesia,Australia,1996,3,light transport aircraft,New
Indonesia,Australia,1996,16,light transport aircraft,Second hand
United States,Australia,1985,7,transport aircraft,Second hand
Papua New Guinea,Australia,1980,2,transport aircraft,Second hand
Kuwait,Australia,1992,2,patrol craft,New
Kuwait,Australia,1991,2,patrol craft,New
Marshall Islands,Australia,1989,1,patrol craft,New
United States,Australia,1991,7,transport helicopter,Second hand
Pakistan,Australia,1990,45,FGA aircraft,Second hand
Philippines,Australia,1989,3,light transport aircraft,Second hand
Indonesia,Australia,1984,3,patrol craft,Second hand but modernized
Indonesia,Australia,1968,5,light transport aircraft,Second hand
Indonesia,Australia,1967,2,light transport aircraft,Second hand
Indonesia,Australia,1967,5,light transport aircraft,Second hand
New Zealand,Australia,1984,10,FGA aircraft,Second hand
Indonesia,Australia,1981,3,patrol craft,Second hand but modernized
Philippines,Australia,1974,11,light transport aircraft,New
Brazil,Australia,1972,50,ASW missile,New
Canada,Australia,2004,8,patrol craft,New
Singapore,Australia,2012,35,IFV turret,New
Singapore,Australia,2009,100,IFV turret,New
Brunei,Australia,1995,2,landing craft,New
Thailand,Australia,1981,21,light transport aircraft,New
Papua New Guinea,Australia,1980,2,maritime patrol aircraft,New
India,Australia,2001,2,patrol craft,New
Fiji,Australia,2014,2,patrol craft,New
Papua New Guinea,Australia,2014,4,patrol craft,New
Netherlands,Australia,2009,14,APC,New
Trinidad and Tobago,Australia,2019,2,patrol craft,New
United Kingdom,Australia,2008,24,APC,New
Micronesia,Australia,1997,1,patrol craft,New
Palau,Australia,1995,1,patrol craft,New
Papua New Guinea,Australia,1974,4,transport aircraft,Second hand
Solomon Islands,Australia,1989,1,patrol craft,New
Tuvalu,Australia,1992,1,patrol craft,New
Papua New Guinea,Australia,1975,2,landing craft,New
Kiribati,Australia,1992,1,patrol craft,New
Micronesia,Australia,1989,2,patrol craft,New
Papua New Guinea,Australia,1975,5,patrol craft,Second hand
Tonga,Australia,1988,3,patrol craft,New
New Zealand,Australia,1988,1,patrol craft,New
Samoa,Australia,1985,1,patrol craft,New
Indonesia,Australia,1972,2,patrol craft,Second hand
Malaysia,Australia,1970,6,fighter aircraft,Second hand but modernized
Indonesia,Australia,1973,6,light transport aircraft,New
Cambodia,Australia,1971,6,transport aircraft,Second hand
Chad,Australia,1983,1,transport aircraft,Second hand
Thailand,Australia,1983,6,light transport aircraft,New
Indonesia,Australia,1977,12,light helicopter,Second hand
Papua New Guinea,Australia,1977,3,light transport aircraft,New
India,Australia,2004,11,patrol craft,New
Jordan,Australia,2006,6,light aircraft,New
United Kingdom,Australia,1970,600,ASW missile,New
Malaysia,Australia,2000,3,light aircraft/UAV,New
Trinidad and Tobago,Australia,2008,6,patrol craft,New
New Zealand,Australia,2004,4,patrol craft,New
Vanuatu,Australia,1985,1,patrol craft,New
United States,Australia,2008,1,transport ship,New
Indonesia,Australia,2015,5,transport aircraft,Second hand
Jamaica,Australia,2013,12,APC,New
Philippines,Australia,2015,3,landing craft,Second hand
Papua New Guinea,Australia,2014,1,landing craft,Second hand
Canada,Australia,2018,18,FGA aircraft,Second hand
Thailand,Australia,1984,1,maritime patrol aircraft,New
United Kingdom,Australia,1977,77,ASW missile,New
Nepal,Australia,1970,2,transport aircraft,Second hand
Laos,Australia,1970,3,transport aircraft,Second hand
Netherlands,Australia,2015,12,APC,New
Indonesia,Australia,1977,6,maritime patrol aircraft,New
United Kingdom,Australia,1955,1,replenishment ship,New
United States,Australia,2003,1,transport ship,New
United States,Australia,2001,1,transport ship,Second hand
United States,Australia,2001,1,transport ship,New
United States,Australia,2002,1,transport ship,New
Netherlands,Australia,1962,2,transport aircraft,Second hand
Philippines,Australia,2015,2,landing craft,Second hand
Indonesia,Australia,2023,15,APC,Second hand
Tonga,Australia,2014,1,landing craft,New
Palau,Australia,2014,1,patrol craft,New
Samoa,Australia,2014,1,patrol craft,New
Tuvalu,Australia,2014,1,patrol craft,New
Ukraine,Australia,2022,120,APC,Second hand
New Zealand,Australia,2004,2,OPV,New
Netherlands,Australia,2008,13,APC,New
Japan,Australia,2014,4,APC,New
Netherlands,Australia,2009,9,APC,New
Indonesia,Australia,2013,3,APC,New
New Zealand,Australia,2013,20,anti-ship missile,New
Chile,Australia,2019,2,frigate,Second hand
Fiji,Australia,2017,10,APC,Second hand
Papua New Guinea,Australia,1983,1,maritime patrol aircraft,New
Ukraine,Australia,2022,28,APC,Second hand
Indonesia,Australia,2013,4,transport aircraft,Second hand but modernized
Sri Lanka,Australia,2014,2,patrol craft,Second hand
Papua New Guinea,Australia,1989,4,helicopter,Second hand
Netherlands,Australia,2007,11,APC,New
Netherlands,Australia,2016,8,APC,New
Solomon Islands,Australia,2014,2,patrol craft,New
Japan,Australia,2017,4,APC,New
Tonga,Australia,2014,2,patrol craft,New
New Zealand,Australia,2015,5,APC,Second hand
Netherlands,Australia,2009,14,APC,New
Netherlands,Australia,2006,25,APC,New
Solomon Islands,Australia,1985,1,patrol craft,New
Fiji,Australia,1992,3,patrol craft,New
Papua New Guinea,Australia,1985,4,patrol craft,New
Philippines,Australia,1979,1,light transport aircraft,New
Indonesia,Australia,1968,2,light transport aircraft,Second hand
India,Australia,1970,10,bomber aircraft,Second hand
Indonesia,Australia,1973,2,transport aircraft,Second hand
Indonesia,Australia,1972,16,fighter aircraft,Second hand
Oman,Australia,2014,2,transport ship,New
United States,Australia,2011,3,tanker/transport aircraft,Second hand
New Zealand,Australia,2020,43,APC,New
Mongolia,Australia,2022,2,light helicopter,Second hand
Thailand,Austria,1995,18,towed gun,New
Latvia,Austria,2017,47,self-propelled gun,Second hand
Thailand,Austria,2020,3,reconnaissance aircraft,New
Myanmar,Austria,2017,5,UAV,New
Nigeria,Austria,2022,4,light aircraft,New
Argentina,Austria,1985,10,ARV,New
Myanmar,Austria,2017,11,trainer aircraft,New
Uganda,Austria,2009,6,light helicopter,Second hand
Egypt,Austria,2001,4,UAV,New
UAE,Austria,2006,60,UAV,New
Jordan,Austria,2010,12,UAV,New
Thailand,Austria,2019,4,light aircraft,New
United Kingdom,Austria,2008,1,reconnaissance aircraft,New
Gabon,Austria,2003,1,APC,New
Bolivia,Austria,2009,9,light aircraft,New
Egypt,Austria,2001,108,tank,Second hand
Brazil,Austria,2000,1,ARV,New
Botswana,Austria,2000,2,APC,New
Sweden,Austria,1990,8,helicopter,Second hand
Botswana,Austria,1997,20,light tank,New
Yugoslavia,Austria,1962,500,vehicle engine,New
Tunisia,Austria,1996,26,mortar,Second hand
Kuwait,Austria,1996,40,APC,New
Uganda,Austria,2022,1,light transport aircraft,Second hand
Gabon,Austria,1976,6,trainer aircraft,Second hand
Morocco,Austria,1978,11,ARV,New
Bolivia,Austria,1978,2,ARV,New
Saudi Arabia,Austria,1989,5,towed gun,New
Nigeria,Austria,1981,70,APC,New
Thailand,Austria,1987,6,towed gun,New
Bolivia,Austria,1977,6,APC,New
Morocco,Austria,1978,109,light tank,New
Nigeria,Austria,1981,25,APC,New
Argentina,Austria,1978,93,light tank,New
Israel,Austria,1981,2,transport helicopter,Second hand
Nigeria,Austria,1984,75,APC,New
Argentina,Austria,1981,57,light tank,New
Bolivia,Austria,1978,34,light tank,New
Tunisia,Austria,1976,54,light tank,New
Venezuela,Austria,2014,24,light aircraft,New
Thailand,Austria,2010,2,reconnaissance aircraft,New
Thailand,Austria,2010,3,reconnaissance aircraft,New
Venezuela,Austria,2008,6,reconnaissance aircraft,New
Poland,Austria,2012,5,light aircraft,New
United States,Austria,2010,10,UAV,New
Czechia,Austria,2009,107,APC,New
Argentina,Austria,2006,4,light tank,New
Nigeria,Austria,2016,5,light aircraft,New
Belgium,Austria,2001,6,APC,New
Slovenia,Austria,2003,36,APC,New
Portugal,Austria,2005,158,APC,New
Saudi Arabia,Austria,2008,37,mortar,New
United States,Austria,1999,33,APC,New
Belgium,Austria,1997,54,APC,New
Nigeria,Austria,1967,2,helicopter,Second hand
Thailand,Austria,1997,18,towed gun,New
Iraq,Austria,1981,200,towed gun,New
Montenegro,Austria,2014,4,APC,New
Turkmenistan,Austria,2010,10,APC,New
Indonesia,Austria,2016,3,APC,New
Indonesia,Austria,2016,1,AFSV,New
Australia,Austria,2018,8,light aircraft,New
Burkina Faso,Austria,2015,1,reconnaissance aircraft,New
Malaysia,Austria,2018,2,UAV,New
Saudi Arabia,Austria,2014,50,APC,New
Portugal,Austria,2005,30,IFV,New
Indonesia,Austria,2019,23,IFV,New
Uganda,Austria,2017,1,light aircraft,New
Jamaica,Austria,2017,4,light aircraft,New
United States,Austria,2009,20,light aircraft,New
Libya,Austria,1987,30,towed gun,New
United Kingdom,Austria,2008,2,light aircraft,New
Kuwait,Austria,2010,56,IFV,New
Thailand,Austria,2009,6,light aircraft,New
Thailand,Austria,2018,3,reconnaissance aircraft,New
Thailand,Austria,2008,6,light aircraft,New
Thailand,Austria,2019,8,light aircraft,New
Niger,Austria,2008,2,reconnaissance aircraft,New
Tunisia,Austria,2017,2,UAV,New
Thailand,Austria,2019,6,UAV,New
OSCE**,Austria,2014,6,UAV,New
Jamaica,Austria,2011,2,light aircraft,New
Venezuela,Austria,2014,6,light aircraft,New
Kuwait,Austria,2010,24,APC,New
Greece,Austria,1981,100,APC,New
Greece,Austria,1987,344,APC,New
Iran,Austria,1984,200,towed gun,New
France,Austria,2005,2,transport aircraft,Second hand
France,Austria,2018,1,UAV,New
France,Austria,2011,1,UAV,New
France,Austria,2019,4,UAV,New
Spain,Austria,2003,100,IFV turret,New
Czechia,Austria,2017,20,APC,New
Libya,Austria,2009,4,UAV,New
Ghana,Austria,2011,2,reconnaissance aircraft,New
Ghana,Austria,2012,3,reconnaissance aircraft,New
Slovenia,Austria,1998,36,APC,New
Kuwait,Austria,1996,30,IFV,New
Germany,Austria,2021,1,light aircraft,New
Bangladesh,Austria,2017,4,light aircraft,New
Argentina,Austria,2013,3,light aircraft,New
Brazil,Austria,2000,17,light tank,New
Australia,Austria,2016,6,UAV,New
Denmark,Bahamas,2015,1,light transport aircraft,Second hand
Chile,Bahrain,2000,1,helicopter,Second hand
Singapore,Bangladesh,1984,2,helicopter,Second hand
Viet Nam,Belarus,2013,20,air search radar,New
Angola,Belarus,2020,3,heavy transport aircraft,Second hand
Viet Nam,Belarus,2008,5,SAM system,New
Azerbaijan,Belarus,2004,60,tank,Second hand
Cote d'Ivoire,Belarus,2002,1,transport aircraft,Second hand
Cote d'Ivoire,Belarus,2003,1,transport helicopter,Second hand
Sudan,Belarus,2003,39,reconnaissance AV,Second hand
Cote d'Ivoire,Belarus,2003,6,APC,Second hand
Sudan,Belarus,2002,12,self-propelled MRL,Second hand
Syria,Belarus,2003,300,portable SAM,New
Peru,Belarus,1996,100,anti-radar missile/ASM,New
Peru,Belarus,1996,100,ASM,New
Angola,Belarus,1999,7,fighter aircraft,Second hand
Yemen,Belarus,2000,27,tank,Second hand but modernized
Ethiopia,Belarus,2000,2,combat helicopter,Second hand
Angola,Belarus,1999,24,self-propelled MRL,Second hand
Angola,Belarus,1999,22,tank,Second hand
Angola,Belarus,1999,62,tank,Second hand
Peru,Belarus,1996,70,BVRAAM,Second hand
Pakistan,Belarus,1996,1920,anti-tank missile,New
Azerbaijan,Belarus,2010,93,tank,Second hand
Iran,Belarus,2010,2,air search radar,New
Yemen,Belarus,2009,92,tank,Second hand but modernized
Sudan,Belarus,1999,60,tank,Second hand
Turkmenistan,Belarus,2015,10,self-propelled MRL,Second hand
Angola,Belarus,2015,18,towed gun,Second hand
China,Belarus,2011,5,heavy transport aircraft,Second hand
Turkmenistan,Belarus,2010,4,tank destroyer,New
Uganda,Belarus,2009,1,combat helicopter,Second hand
Azerbaijan,Belarus,2008,3,self-propelled gun,Second hand
Armenia,Belarus,2006,10,towed gun,Second hand
Eritrea,Belarus,2006,9,self-propelled MRL,Second hand
Peru,Belarus,2001,23,SRAAM,New
Myanmar,Belarus,2018,2,combat helicopter,Second hand
Sudan,Belarus,2017,6,APC,Second hand but modernized
Uganda,Belarus,2017,2,combat helicopter,Second hand
Angola,Belarus,2017,4,self-propelled MRL,Second hand
Syria,Belarus,2008,33,fighter aircraft,Second hand
Afghanistan,Belarus,2018,4,combat helicopter,Second hand
Sudan,Belarus,2014,3,combat helicopter,Second hand
Angola,Belarus,1999,12,towed gun,Second hand
Myanmar,Belarus,2014,100,SAM,New
Angola,Belarus,2014,22,self-propelled gun,Second hand
Sudan,Belarus,2014,70,APC,Second hand
Azerbaijan,Belarus,2017,300,guided rocket,New
Azerbaijan,Belarus,2017,6,self-propelled MRL,New
Algeria,Belarus,1998,25,FGA aircraft,Second hand
Myanmar,Belarus,2014,2,SAM system,New
Azerbaijan,Belarus,2012,2,SAM system,Second hand but modernized
Libya HoR*,Belarus,2014,4,combat helicopter,Second hand
Sudan,Belarus,2018,4,ground attack aircraft,Second hand
Serbia,Belarus,2017,4,FGA aircraft,Second hand but modernized
Peru,Belarus,1996,25,anti-radar missile,Second hand
Cote d'Ivoire,Belarus,2003,4,ground attack aircraft,Second hand
Sudan,Belarus,2012,4,combat helicopter,Second hand
Cote d'Ivoire,Belarus,2018,4,APC,Second hand but modernized
Sudan,Belarus,2016,1,transport helicopter,Second hand
Iraq,Belarus,2015,9,ground attack aircraft,Second hand
Angola,Belarus,2021,5,APV,New
Uganda,Belarus,2019,6,IFV,Second hand
Cote d'Ivoire,Belarus,2017,8,APV,New
Angola,Belarus,2017,12,self-propelled MRL,Second hand
Cote d'Ivoire,Belarus,2002,2,combat helicopter,Second hand
Sudan,Belarus,2012,8,bomber aircraft,Second hand
Uganda,Belarus,2000,10,tank,Second hand
Sudan,Belarus,2002,24,towed gun,Second hand
Nepal,Belarus,2002,2,transport helicopter,Second hand
Angola,Belarus,1999,7,FGA aircraft,Second hand
Cote d'Ivoire,Belarus,2002,13,IFV,Second hand
Angola,Belarus,1999,62,IFV,Second hand
Cote d'Ivoire,Belarus,2002,10,mortar,Second hand
Cote d'Ivoire,Belarus,2003,13,reconnaissance AV,Second hand
Uganda,Belarus,2003,3,combat helicopter,Second hand
Iran,Belarus,1999,37,tank,Second hand
Rwanda,Belarus,1997,2,combat helicopter,Second hand
Cote d'Ivoire,Belarus,2003,6,self-propelled MRL,Second hand
Sudan,Belarus,2003,10,self-propelled gun,Second hand
Uganda,Belarus,2018,62,tank,Second hand
Sudan,Belarus,2003,9,IFV,Second hand
Eritrea,Belarus,2005,2,SAM system,Second hand but modernized
Sudan,Belarus,2006,2,APC,Second hand but modernized
Sudan,Belarus,2007,15,ground attack aircraft,Second hand
Djibouti,Belarus,2004,2,combat helicopter,Second hand
Azerbaijan,Belarus,2009,11,ground attack aircraft,Second hand
Azerbaijan,Belarus,2009,9,self-propelled gun,Second hand
Eritrea,Belarus,2005,70,SAM,Second hand
Sudan,Belarus,2014,2,transport helicopter,Second hand
Azerbaijan,Belarus,2009,30,towed gun,Second hand
Yemen,Belarus,2009,68,vehicle engine,Second hand but modernized
Angola,Belarus,1999,12,self-propelled gun,Second hand
Angola,Belarus,1999,2,FGA aircraft,Second hand
Angola,Belarus,1997,1,bomber aircraft,Second hand
Ethiopia,Belarus,1998,40,tank,Second hand
Rwanda,Belarus,1998,2,combat helicopter,Second hand
Sierra Leone,Belarus,1997,2,combat helicopter,Second hand
Algeria,Belarus,1997,2,bomber aircraft,Second hand
DR Congo,Belarus,1997,6,self-propelled MRL,Second hand
Uganda,Belarus,1997,2,combat helicopter,Second hand
Peru,Belarus,1996,18,ground attack aircraft,Second hand
Sudan,Belarus,1996,6,combat helicopter,Second hand
Sudan,Belarus,1996,9,tank,Second hand
Peru,Belarus,1996,350,SRAAM,New
Peru,Belarus,1996,18,FGA aircraft,Second hand
Hungary,Belarus,1996,100,tank,Second hand
Angola,Belarus,1993,21,IFV,Second hand
Sierra Leone,Belarus,1994,2,combat helicopter,Second hand
Nigeria,Belarus,2009,2,combat helicopter,Second hand
Azerbaijan,Belarus,2016,26,towed gun,Second hand
Angola,Belarus,2017,54,self-propelled gun,Second hand
Angola,Belarus,2017,12,self-propelled gun,Second hand
Central African Republic,Belarus,2021,1,heavy transport aircraft,Second hand
Sudan,Belarus,2022,5,APV,New
Morocco,Belarus,1999,100,tank,Second hand but modernized
Brazil,Belgium,1995,128,tank,Second hand
Brazil,Belgium,2000,2,ARV,Second hand
Morocco,Belgium,2006,43,self-propelled gun,Second hand
Ukraine,Belgium,2022,136,APC,Second hand
Jordan,Belgium,2010,9,FGA aircraft,Second hand
Jordan,Belgium,2006,16,FGA aircraft,Second hand
Indonesia,Belgium,2016,14,tank turret,New
Pakistan,Belgium,2021,7,transport aircraft,Second hand
United Kingdom,Belgium,2012,2,transport aircraft,Second hand
Ukraine,Belgium,2023,40,APC,Second hand
Malaysia,Belgium,1981,162,IFV,New
Saudi Arabia,Belgium,2014,119,IFV turret,New
Germany,Belgium,2020,3,light helicopter,New
Jordan,Belgium,1999,100,APC,Second hand
Jordan,Belgium,1999,50,light tank,Second hand
NATO**,Belgium,1986,3,transport aircraft,Second hand
Portugal,Belgium,1979,3,trainer aircraft,Second hand
France,Belgium,1997,3,MCM ship,Second hand
Malaysia,Belgium,1981,24,APC,New
Mexico,Belgium,1994,95,APC,Second hand
Chile,Belgium,1994,5,FGA aircraft,Second hand
Chile,Belgium,1994,20,FGA aircraft,Second hand but modernized
Netherlands,Belgium,1983,26,APC,New
DR Congo,Belgium,1961,2,trainer aircraft,Second hand
DR Congo,Belgium,1961,3,light transport aircraft,Second hand
Katanga,Belgium,1960,1,light transport aircraft,Second hand
Katanga,Belgium,1960,8,trainer aircraft,Second hand
Nigeria,Belgium,1967,5,transport aircraft,Second hand
DR Congo,Belgium,1963,2,trainer aircraft,Second hand
DR Congo,Belgium,1962,2,light aircraft,Second hand
DR Congo,Belgium,1962,2,light transport aircraft,Second hand
DR Congo,Belgium,1961,1,helicopter,Second hand
DR Congo,Belgium,1961,1,trainer aircraft,Second hand
DR Congo,Belgium,1960,2,light transport aircraft,Second hand
Norway,Belgium,1954,8,transport aircraft,Second hand
Uruguay,Belgium,1980,20,armoured car,Second hand
Nigeria,Belgium,1968,1,light aircraft,Second hand
Jordan,Belgium,2010,6,APC,Second hand
Morocco,Belgium,2009,13,APC,Second hand
Morocco,Belgium,2008,90,IFV,Second hand
Morocco,Belgium,2008,20,APC,Second hand
Chile,Belgium,2008,21,APC,Second hand
Bulgaria,Belgium,2008,2,frigate,Second hand
Uruguay,Belgium,1981,22,light tank,Second hand but modernized
Estonia,Belgium,2010,25,portable SAM,Second hand
Philippines,Belgium,1993,12,tank turret,New
Panama,Belgium,1983,3,tank turret,New
Kuwait,Belgium,1984,62,tank turret,New
Bolivia,Belgium,1982,1,light helicopter,Second hand
Bahrain,Belgium,2007,8,APC,Second hand
Jordan,Belgium,2007,18,APC,Second hand
Jordan,Belgium,2007,45,ASM,Second hand
Lebanon,Belgium,2007,12,APC,Second hand
Bulgaria,Belgium,2008,1,MCM ship,Second hand
Benin,Belgium,2007,18,APC,Second hand
Chad,Belgium,2006,82,armoured car,Second hand but modernized
Benin,Belgium,2007,4,light helicopter,Second hand
Benin,Belgium,2002,2,transport aircraft,Second hand
Turkiye,Belgium,1981,17,FGA aircraft,Second hand
Indonesia,Belgium,2014,150,APC,Second hand
Brazil,Belgium,1999,40,self-propelled gun,Second hand but modernized
Bulgaria,Belgium,2004,1,frigate,Second hand but modernized
Mexico,Belgium,1994,401,APC,Second hand but modernized
Austria,Belgium,2015,7,APC,Second hand
DR Congo,Belgium,1959,15,armoured car,Second hand
Ukraine,Belgium,2023,25,portable SAM,Second hand
Ukraine,Belgium,2022,15,BVRAAM,Second hand
Ukraine,Belgium,2022,50,anti-tank missile,Second hand
Ukraine,Belgium,2023,80,APV,Second hand
Ukraine,Belgium,2022,4,mortar,Second hand
Bahrain,Belgium,2014,45,APC,Second hand
Indonesia,Belgium,2016,36,self-propelled gun,Second hand but modernized
Indonesia,Belgium,2016,4,APC,Second hand
Chile,Belgium,2004,139,IFV,Second hand
Jordan,Belgium,2005,143,APC,Second hand
Jordan,Belgium,2005,13,IFV,Second hand
Jordan,Belgium,2005,48,APC,Second hand
Jordan,Belgium,2005,10,APC,Second hand
Argentina,Belgium,1980,5,APC,New
United Nations**,Belgium,2006,15,APC,Second hand
France,Belgium,2009,2,helicopter,Second hand
Zimbabwe,Belgium,1977,17,trainer aircraft,Second hand
Norway,Belgium,1966,3,minesweeper,Second hand
Saudi Arabia,Belgium,2014,119,tank turret,New
Philippines,Belgium,2014,24,APC,Second hand but modernized
Rwanda,Belgium,1971,2,light aircraft,Second hand
Lebanon,Belgium,2007,22,IFV,Second hand
Canada,Belgium,2020,25,trainer/combat aircraft,Second hand
Bahrain,Belgium,2007,42,IFV,Second hand
Indonesia,Belgium,2016,1,tank turret,New
DR Congo,Belgium,2001,1,transport helicopter,Second hand
Myanmar,Belgium,2016,1,light helicopter,Second hand
France,Belgium,2017,4,helicopter,Second hand
Jordan,Belgium,2004,81,AA gun,Second hand
Uruguay,Belgium,2007,3,APC,Second hand
Sri Lanka,Belgium,1990,12,trainer aircraft,Second hand
Saudi Arabia,Belgium,2006,10,tank turret,New
Indonesia,Belgium,2008,22,tank turret,New
Kuwait,Belgium,1996,15,tank turret,New
Qatar,Belgium,1996,36,tank turret,New
Saudi Arabia,Belgium,2000,130,tank turret,New
Saudi Arabia,Belgium,2009,84,tank turret,New
France,Belgium,2005,110,APC turret,New
Ukraine,Belgium,2022,28,self-propelled gun,Second hand
DR Congo,Belgium,1959,15,APC/APV,Second hand
Cameroon,Bosnia-Herzegovina,2002,31,armoured car,Second hand
Afghanistan,Bosnia-Herzegovina,2012,20,towed gun,Second hand
Afghanistan,Bosnia-Herzegovina,2009,60,towed gun,Second hand but modernized
Ethiopia,Bosnia-Herzegovina,2022,5,APV,New
Philippines,Brazil,2020,28,APC,New
Angola,Brazil,1986,2,maritime patrol aircraft,New
Uruguay,Brazil,2019,11,APC,Second hand
Honduras,Brazil,1984,12,trainer aircraft,New
United States,Brazil,2020,3,trainer/combat aircraft,New
India,Brazil,2008,3,transport aircraft,New
Pakistan,Brazil,2008,100,anti-radar missile,New
Afghanistan,Brazil,2017,6,trainer/combat aircraft,New
Turkmenistan,Brazil,2019,5,trainer/combat aircraft,New
Uruguay,Brazil,2020,10,APC,Second hand
Chile,Brazil,2006,3,helicopter,Second hand
Indonesia,Brazil,2019,27,self-propelled MRL,New
Malaysia,Brazil,2000,10,APC,New
Malaysia,Brazil,2007,18,self-propelled MRL,New
Malaysia,Brazil,2001,18,self-propelled MRL,New
Uruguay,Brazil,2005,1,light helicopter,Second hand but modernized
Colombia,Brazil,2005,25,trainer/combat aircraft,New
Chile,Brazil,2008,12,trainer/combat aircraft,New
Mexico,Brazil,2001,2,maritime patrol aircraft,New
Bolivia,Brazil,1985,6,trainer aircraft,New
Bolivia,Brazil,1991,15,trainer aircraft,Second hand
Cabo Verde,Brazil,1998,1,light transport aircraft,New
Angola,Brazil,1998,8,trainer aircraft,New
Qatar,Brazil,1991,3,fire control radar,New
Ecuador,Brazil,1983,18,APC,New
Uruguay,Brazil,1980,18,APC,New
Peru,Brazil,1993,3,light transport aircraft,New
Qatar,Brazil,1991,18,self-propelled MRL,New
Colombia,Brazil,1992,14,trainer aircraft,New
Peru,Brazil,1991,10,trainer aircraft,New
France,Brazil,1991,50,trainer aircraft,New
Iran,Brazil,1988,25,trainer aircraft,New
Argentina,Brazil,1981,1,light helicopter,New
Paraguay,Brazil,1985,4,light helicopter,New
Paraguay,Brazil,1987,6,trainer aircraft,New
Cyprus,Brazil,1982,36,reconnaissance AV,New
Saudi Arabia,Brazil,1987,76,self-propelled MRL,New
Guyana,Brazil,1983,1,light transport aircraft,New
Guyana,Brazil,1981,1,helicopter,New
Ecuador,Brazil,1983,28,armoured car,New
Venezuela,Brazil,1986,32,trainer aircraft,New
Uruguay,Brazil,1982,16,reconnaissance AV,New
Cyprus,Brazil,1982,10,APC,New
Uruguay,Brazil,1975,5,light transport aircraft,New
Chile,Brazil,1976,3,light transport aircraft,New
Bolivia,Brazil,1973,8,trainer aircraft,Second hand
Chile,Brazil,1974,10,trainer aircraft,New
Bolivia,Brazil,1974,18,trainer aircraft,New
Paraguay,Brazil,1970,8,trainer aircraft,Second hand
Uruguay,Brazil,1984,15,armoured car,New
Gabon,Brazil,1981,12,reconnaissance AV,New
Iraq,Brazil,1983,80,trainer aircraft,New
Tunisia,Brazil,1982,12,IFV,New
Tunisia,Brazil,1982,24,armoured car,New
Paraguay,Brazil,1982,1,patrol craft,New
Argentina,Brazil,1982,11,trainer/combat aircraft,Second hand
Iraq,Brazil,1981,280,reconnaissance AV,New
