Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 2 Nov 2024 10:23:14 PM

Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1950-2023,Percentage,Sum total years,Percentage of total
Belgium,198,485,972,1098,604,361,687,685,897,179,92,132,188,573,648,517,111,39,220,240,514,499,492,580,113,130,184,187,412,792,577,521,438,583,575,287,91,91,407,203,314,125,48,73,47,16,3,50,55,58,36,30,48,21,15,3,15,171,191,86,35,23,29,45,97,52,4,7,1,9,90,255,158,86,18896,0.9%,18896,0.9%
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,0 ,,,,1,,,,,,,,,,,,,,,,2,,,,,,,1,5,0.0%,5,0.0%
Benin,,,,,,,,,,,,2,1,,2,,1,,,,0 ,2,,1,,,,,26,6,,,10,3,1,3,,1,0 ,0 ,,,,,,,1,,,,,,7,,,,,3,,1,0 ,0 ,20,2,,,1,,,,1,,3,11,108,0.0%,108,0.0%
Bhutan,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,1,1,,,,,4,,,7,0.0%,7,0.0%
Biafra,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0%,9,0.0%
Bolivia,,6,,,2,,,,26,3,6,4,2,4,2,2,1,14,17,1,2,2,12,16,23,17,16,1,11,52,39,28,2,,,18,15,,56,66,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,1,34,26,,,,764,0.0%,764,0.0%
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,58,78,2,25,,,,,,,,,,,,,,,,,,0 ,,0 ,0 ,12,,,189,0.0%,189,0.0%
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,11,,,,4,,26,40,4,22,2,2,11,,11,32,71,2,,53,15,1,10,9,,,,,10,10,,6,8,,,5,,5,7,71,16,11,1,489,0.0%,489,0.0%
Brazil,,615,,133,112,379,55,152,139,130,236,212,62,127,25,149,57,218,236,110,219,179,518,598,256,539,571,545,872,394,355,61,72,87,119,83,135,230,125,734,136,160,91,57,306,241,536,465,232,376,137,631,223,110,85,223,178,188,178,135,256,239,318,225,212,218,117,100,268,132,140,244,484,151,17630,0.9%,17630,0.9%
Brunei,,,,,,,,,,,,,,,,5,1,18,1,,5,18,1,1,15,1,0 ,,46,64,,8,12,85,60,,13,,,,4,4,,,,,17,31,7,4,,5,1,0 ,0 ,1,1,,,33,33,229,20,15,121,36,,,,,,0 ,,11,929,0.0%,929,0.0%
Bulgaria,171,88,117,364,665,365,305,514,599,165,474,522,493,539,326,372,218,329,256,533,771,407,460,274,302,390,368,492,876,323,580,984,610,764,943,603,927,444,248,336,754,339,42,1,1,1,122,,,7,,,,2,12,132,22,48,117,119,8,29,5,,,5,,,,2,44,1,4,,20328,1.0%,20328,1.0%
Burkina Faso,,,,,,,,,,,,1,,,1,0 ,0 ,,0 ,1,1,1,,,,14,8,9,,,0 ,9,1,16,9,2,3,,12,,,3,,7,,,,,,0 ,,,,,,12,4,4,,3,0 ,16,3,,,5,7,2,24,7,2,28,10,12,236,0.0%,236,0.0%
Burundi,,,,,,,,,,,,,,,,,9,2,,3,,,,0 ,,,,,,,1,5,3,11,2,,,,,6,6,,,,,,,,,,,1,3,,,,,,,1,2,,5,,,1,3,,,2,,,,,68,0.0%,68,0.0%
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,,,26,,,,,,,,,,7,,,,,,9,,1,,,,,,,,,2,,,10,,,,,,,3,,,,,76,0.0%,76,0.0%
Cambodia,,,,,4,19,36,10,4,2,1,2,5,11,41,43,37,20,15,18,6,22,106,124,24,,,,43,,34,,,13,67,69,134,50,10,123,48,,,2,74,1,27,22,,,,,,,,,14,56,,4,34,,78,68,,,,,5,1,,35,32,54,1646,0.1%,1646,0.1%
Cameroon,,,,,,,,,,,,0 ,,2,0 ,2,2,3,3,,,8,1,15,,,29,73,,1,,28,113,5,125,16,11,5,1,3,8,,3,,,,5,6,9,4,,6,10,,,5,3,,1,,10,,9,139,124,9,23,8,2,4,2,4,2,4,847,0.0%,847,0.0%
Canada,264,294,998,1884,1123,1267,685,728,220,308,171,1576,1219,1009,740,563,306,237,336,516,623,455,376,78,224,195,53,90,130,190,441,452,276,649,646,848,810,787,712,37,150,752,407,196,473,405,419,351,115,192,576,538,436,153,353,118,113,481,423,104,242,356,207,202,316,408,252,373,185,178,220,288,156,14,32663,1.6%,32663,1.6%
Central African Republic,,,,,,,,,,,,2,,,,1,2,,3,,,2,,0 ,,,,,0 ,,0 ,1,3,6,1,6,,,2,,,,1,,,,,,,,,,,,,,9,,0 ,,,7,,,,,,,2,,1,44,2,43,137,0.0%,137,0.0%
Chad,,,,,,,,,,,1,1,,,,0 ,,,,,,4,,3,13,10,8,3,,,10,,,37,9,1,29,28,9,56,,,,,3,1,,,7,7,,16,,,,,18,30,82,36,42,1,4,59,58,1,2,6,7,1,4,43,5,26,680,0.0%,680,0.0%
Chile,1,247,26,10,42,5,90,28,32,20,304,38,19,127,34,57,74,150,70,21,57,198,51,278,292,184,415,58,157,138,147,147,343,140,538,8,171,154,84,137,135,104,170,85,82,331,164,284,88,206,230,60,74,187,68,446,1093,655,391,329,474,326,61,55,135,135,40,49,74,33,295,57,207,9,12226,0.6%,12226,0.6%
China,2570,2196,3428,3143,3499,1729,2256,2127,2779,3160,2341,936,415,450,485,257,227,145,182,2,2,2,2,3,3,3,3,75,86,10,6,2,13,25,71,113,20,56,104,199,312,483,1196,1243,320,716,1511,949,382,1730,2491,2773,2838,2334,3236,3478,2842,1700,1822,1386,979,1071,1601,1261,1041,1252,1223,1550,2029,1341,779,686,717,471,82865,4.0%,82865,4.0%
Colombia,3,8,15,12,31,13,38,15,298,1,5,66,6,32,9,18,32,15,32,121,8,40,171,163,5,291,10,8,12,36,12,28,18,299,659,7,6,4,37,218,13,72,36,68,42,35,49,193,160,44,60,268,173,145,18,18,54,229,110,263,261,145,207,171,167,193,18,91,16,22,78,44,50,3,6318,0.3%,6318,0.3%
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,,,,,,,9,0.0%,9,0.0%
Congo,,,,,,,,,,,1,1,,0 ,,0 ,,,1,24,9,27,2,,7,2,4,,35,26,17,3,11,25,25,3,,,28,44,44,18,,,,,,27,2,2,0 ,,,8,7,4,1,0 ,,4,28,5,23,35,6,2,,,0 ,3,,3,,,516,0.0%,516,0.0%
Contras (Nicaragua)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.0%,28,0.0%
Costa Rica,,,,,,3,0 ,,,,,,,1,,,0 ,,,,,,,1,,3,,,6,2,0 ,,,,0 ,1,1,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0 ,8,,,,,32,0.0%,32,0.0%
Cote d'Ivoire,,,,,,,,,,,,3,1,1,,,2,3,26,2,7,17,1,,18,,,22,15,38,56,19,,,9,,,,,2,,,0 ,,,2,,0 ,,2,0 ,,32,61,9,,,,,,,,,,6,5,5,14,10,15,3,15,21,34,478,0.0%,478,0.0%
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,29,53,1,12,41,,,,57,2,24,8,,,20,103,4,11,19,19,,27,11,20,13,3,5,,,29,88,628,0.0%,628,0.0%
Cuba,,8,12,13,20,3,35,11,23,10,153,523,1324,288,252,135,232,163,155,155,155,162,452,420,408,200,316,609,503,410,349,964,964,778,426,352,281,73,167,94,169,159,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,11931,0.6%,11931,0.6%
Cyprus,,,,,,,,,,,,,,,18,22,,,,,,,,9,,,,,,,,,5,19,24,33,40,34,124,28,82,94,26,10,37,33,170,98,7,113,4,180,66,6,16,18,22,17,,,44,41,6,,,,,30,,19,30,11,,,1534,0.1%,1534,0.1%
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,9,0 ,1,13,57,42,94,6,600,46,10,25,6,13,71,22,15,,0 ,,,7,1,8,32,69,148,1332,0.1%,1332,0.1%
Czechoslovakia,90,247,707,1607,1008,1062,573,203,562,840,534,663,543,585,573,692,690,754,868,846,743,1100,956,1058,1087,837,213,300,560,498,468,824,897,806,919,1162,813,668,593,875,280,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29359,1.4%,29359,1.4%
DR Congo,,,,,,,,,,,2,9,13,32,83,31,26,16,7,28,19,165,15,5,9,445,132,31,38,15,10,12,15,5,16,1,1,36,1,,5,,2,,,0 ,61,6,10,46,88,11,18,,,26,24,,18,37,155,,15,1,,3,43,,1,,6,,,51,1846,0.1%,1846,0.1%
Darfur rebels (Sudan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0 ,,,,,,1,0.0%,1,0.0%
Denmark,96,72,361,648,165,172,159,157,114,203,139,335,64,142,490,455,66,72,71,19,312,362,111,,39,149,356,369,362,57,483,479,473,231,72,89,16,99,98,187,128,154,72,51,88,134,75,77,116,70,50,146,40,50,232,116,84,133,93,130,21,,103,38,170,42,103,53,50,43,63,262,203,261,11796,0.6%,11796,0.6%
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,36,5,6,3,3,,1,8,1,,,,1,19,6,,2,,,,,1,,3,,4,7,,,,,,,6,5,15,1,11,,,8,1,46,19,0 ,227,0.0%,227,0.0%
Dominican Republic,2,11,43,21,2,6,7,1,17,4,19,11,0 ,7,5,10,9,1,1,0 ,1,2,7,0 ,,2,12,,,,9,5,36,,25,2,0 ,,3,,,,,,,,4,,6,1,13,5,0 ,8,35,2,,,,10,51,12,,,,1,0 ,,,,4,,5,9,450,0.0%,450,0.0%
ELF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0%,4,0.0%
EPLF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,1,1,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
East Germany (GDR),26,,181,102,10,10,641,1086,937,586,402,205,764,767,1027,924,1341,1191,1258,835,833,574,992,1059,937,564,1320,1096,1141,969,899,813,1055,925,1147,1385,692,389,619,645,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30747,1.5%,30747,1.5%
Ecuador,,,,10,14,124,6,,13,,66,,,3,3,29,9,21,5,1,5,85,41,15,22,42,225,581,224,110,294,122,254,385,347,23,28,26,26,20,3,136,4,18,17,45,29,103,31,16,,50,1,,15,47,47,2,102,77,90,69,88,11,53,27,26,20,5,3,21,15,9,8,4365,0.2%,4365,0.2%
Egypt,152,46,0 ,2,133,756,1170,1008,403,274,153,545,686,737,844,950,1536,2240,1274,1241,1679,1987,3259,2546,1077,565,159,410,135,630,1004,1179,2501,1689,1516,979,1491,1653,427,297,563,887,973,1257,2020,1703,969,1050,482,520,834,829,717,631,648,809,695,660,326,95,689,653,308,719,430,1443,1641,2462,1630,1091,1360,1325,733,1130,71613,3.5%,71613,3.5%
El Salvador,0 ,,,,1,1,,17,,,,,,0 ,,1,1,0 ,20,3,9,1,,1,29,46,19,10,3,11,12,5,32,21,66,41,5,,,,,21,4,2,,4,4,,2,,,,19,10,,,,,3,2,2,2,4,1,21,,,1,1,2,4,4,7,5,482,0.0%,482,0.0%
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,5,,,,,,,,,,,,,,,,,3,,7,,,7,11,7,28,30,68,3,56,60,2,92,,,,20,,,0 ,,,402,0.0%,402,0.0%
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,7,43,53,212,31,20,57,18,17,80,98,,4,,,,,,,,,,,,,,,,,681,0.0%,681,0.0%
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,15,17,1,13,4,1,27,,2,14,11,26,4,18,28,42,13,1,2,18,2,18,29,33,17,18,25,20,18,18,460,0.0%,460,0.0%
Ethiopia,2,19,,6,8,1,1,16,23,6,24,4,21,27,4,14,99,31,34,24,89,54,53,5,16,58,135,1116,965,113,330,328,516,353,273,268,348,239,155,47,2,80,,,,,,69,208,152,114,,20,174,239,,,,,,58,76,193,154,33,10,55,51,12,74,25,16,37,,7676,0.4%,7676,0.4%
FAN (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
FMLN (El Salvador)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0%,3,0.0%
FNLA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.0%,23,0.0%
FRELIMO (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,1,,3,,6,12,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,43,0.0%,43,0.0%
Finland,,,19,,,11,15,3,25,41,54,52,48,252,103,81,42,76,23,21,15,4,26,13,172,129,74,12,105,47,328,118,132,112,127,203,98,66,141,85,88,65,440,406,234,195,552,397,560,768,472,7,15,242,67,93,132,141,135,42,54,60,79,278,182,278,166,47,87,86,53,38,30,17,9376,0.5%,9376,0.5%
France,180,997,1180,1686,1690,1624,1567,759,1134,815,526,321,122,162,1300,378,106,98,123,64,44,57,33,51,46,45,196,204,241,107,70,106,142,108,73,20,100,84,133,107,65,948,424,96,80,97,64,223,171,105,98,61,38,55,93,2,68,75,4,74,106,43,87,107,17,44,47,85,201,104,225,105,130,274,21213,1.0%,21213,1.0%
GUNT (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
Gabon,,,,,,,,,,,,3,,,3,0 ,2,,4,4,1,24,,2,11,34,47,28,76,,33,36,5,11,99,2,8,10,22,,29,,,,,,,,,,,,,,7,,20,18,,,27,5,1,2,,5,3,,,26,,2,,16,625,0.0%,625,0.0%
Gambia,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,3,,,,,,,,12,,,,,,,,,,,,,,,5,,,,,16,,,,,,,,,,,,,1,0 ,37,0.0%,37,0.0%
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,28,23,6,85,,1,38,95,97,161,132,38,,2,,5,1,,,7,41,6,,,2,1,778,0.0%,778,0.0%
Germany,,,,,,85,1374,2285,2835,1562,2072,2043,2482,3297,3723,3334,3225,1371,1238,1263,1419,2404,793,1721,2141,1831,1387,1042,691,65,150,261,453,434,412,130,322,334,443,701,710,688,679,529,417,222,244,60,543,129,113,133,71,63,237,199,406,46,278,331,307,84,131,113,95,96,55,43,14,38,101,240,288,204,57226,2.8%,57226,2.8%
Ghana,,,,,,,,,,1,12,107,20,6,40,40,24,1,,,,,12,13,19,28,39,,18,7,38,48,,,,5,,13,,2,4,1,,,11,,7,5,,7,1,12,1,6,37,0 ,0 ,16,,11,2,76,39,52,14,13,22,,0 ,2,10,,40,8,894,0.0%,894,0.0%
Greece,97,500,307,85,152,203,92,354,475,314,273,92,340,108,641,497,213,376,107,305,304,581,689,246,428,912,1288,980,1281,739,668,961,463,403,366,189,202,36,526,1220,907,487,2146,892,1227,867,380,800,1718,837,713,788,402,2163,1098,406,719,1665,482,1228,630,70,19,28,204,728,302,51,39,93,101,241,443,391,41275,2.0%,41275,2.0%
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Guatemala,,6,,,2,8,6,,,5,16,,1,7,8,5,,1,16,1,,46,1,0 ,15,47,15,1,1,5,8,49,16,1,7,25,2,0 ,0 ,4,0 ,0 ,,13,4,4,2,,1,,,,,,,,,,0 ,,,,2,,,33,,,4,14,,,10,5,419,0.0%,419,0.0%
Guinea,,,,,,,,,,18,33,2,,0 ,0 ,17,,6,,0 ,1,4,4,18,24,2,18,8,45,69,,1,1,1,,,39,,,40,1,1,,,,,,,4,,26,6,,2,,1,,0 ,,,5,1,4,,5,,,2,1,4,,1,,,415,0.0%,415,0.0%
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,21,10,13,,14,24,2,1,,,11,,35,,20,,20,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,0.0%,182,0.0%
Guyana,,,,,,,,,,,,,,,,,,,0 ,,,2,,,2,0 ,16,5,1,5,4,14,,3,7,23,,,,,,,,,,,,,,,,7,3,,,,,,0 ,,,,,,,,,,0 ,2,,5,,10,109,0.0%,109,0.0%
Haiti,4,,3,,,,6,1,,,6,,,,1,,,,,8,,,,3,4,1,1,0 ,9,,,3,4,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,0.0%,66,0.0%
Haiti rebels*,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.0%,7,0.0%
Hamas (Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,0 ,,,,,,,,,,3,0.0%,3,0.0%
Hezbollah (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0 ,1,1,1,0 ,1,2,0 ,0 ,0 ,0 ,0 ,3,0 ,1,0 ,9,,,30,30,,,,,,,,,,,,,,88,0.0%,88,0.0%
Honduras,,1,2,,1,,9,1,12,1,,,14,,,1,6,,,19,,,,2,,31,30,34,33,9,13,31,34,37,25,35,75,13,44,17,,,,,,,,,,,,,,,,,,,0 ,,,0 ,0 ,20,13,8,,10,1,23,0 ,4,,,609,0.0%,609,0.0%
Houthi rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,13,12,39,0.0%,39,0.0%
Hungary,56,52,13,802,699,222,1,59,259,336,604,580,295,376,747,667,150,287,271,449,24,239,123,394,554,495,378,394,660,485,384,143,179,173,307,229,80,77,42,68,15,22,,928,2,1,156,99,45,71,14,14,,,72,13,253,196,5,4,18,8,,2,7,,14,5,27,16,55,19,39,319,14788,0.7%,14788,0.7%
Iceland,,,,,,,,,,,20,,,,,,,,27,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,123,0.0%,123,0.0%
India,141,277,104,430,265,350,366,980,954,855,544,1147,396,681,955,1086,1007,1277,1665,1515,878,1881,1828,1351,1326,1133,1941,2374,1194,1199,1768,2123,2275,2637,2785,3004,4249,3922,3855,3676,2832,1873,1187,735,872,1396,822,1665,797,1212,987,1169,2001,2738,2212,1194,1479,2276,1624,1937,2886,3613,4429,5242,3201,2724,2553,2656,2006,3147,2637,3959,2582,1428,134469,6.5%,134469,6.5%
Indonesia,195,58,14,6,16,25,42,16,687,574,456,773,1021,206,596,317,16,1,0 ,9,27,92,5,73,73,4,156,62,124,370,898,790,356,228,100,289,432,264,285,249,202,11,51,212,471,283,379,103,87,163,146,24,63,354,78,33,62,578,249,445,223,258,216,828,1196,437,353,1101,354,237,279,366,86,405,20239,1.0%,20239,1.0%
Indonesia rebels*,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0%,6,0.0%
